Year,District,barley_yield,maize_yield,buckwheat_yield,millet_yield,wheat_yield,paddy_yield,potato_yield,coffee_yield,tea_yield,lentil_yield,chickpeas_yield,pigeon-peas_yield,jute_yield,cotton_yield
2076,RUPANDEHI,2.59000,3.91000,0.00000,1.12000,3.47000,4.15000,16.19000,0.00000,0.00000,1.55000,1.13000,1.57000,0.00000,0.00000
2076,KAPILBASTU,1.84000,3.65000,0.00000,0.00000,4.05000,3.54000,13.00000,0.00000,0.00000,1.19000,1.10000,1.27000,0.00000,0.00000
2076,DANG,1.20000,2.42000,1.03000,1.05000,2.55000,4.18000,14.41000,0.00000,0.00000,1.07000,0.97000,1.20000,0.00000,1.02400
2076,BANKE,1.11000,2.22000,0.00000,0.00000,3.74000,3.15000,13.76000,0.00000,0.00000,1.32000,0.96000,0.95000,0.00000,1.00000
2076,BARDIYA,1.11000,2.94000,0.00000,0.00000,3.80000,4.31000,15.81000,0.00000,0.00000,1.36000,1.21000,0.97000,0.00000,0.00000
2076,RUKUM EAST,1.26000,2.34000,0.00000,1.34000,2.51000,2.67000,15.00000,0.00000,0.00000,0.90000,0.80000,0.50000,0.00000,0.00000
2076,PYUTHAN,1.63000,2.22000,1.03000,1.11000,3.10000,3.91000,15.65000,0.25800,0.00000,0.91000,1.32000,0.00000,0.00000,0.00000
2076,ROLPA,1.17000,2.59000,0.90000,1.13000,2.93000,3.25000,16.48000,0.00000,0.00000,0.95000,0.90000,0.00000,0.00000,0.00000
2076,DOLPA,0.97000,1.36000,1.06000,1.09000,1.79000,1.68000,14.00000,0.00000,0.00000,0.50000,0.00000,0.00000,0.00000,0.00000
2076,MUGU,1.11000,1.59000,0.95000,0.77000,1.01000,1.33000,16.00000,0.00000,0.00000,0.86000,0.00000,0.00000,0.00000,1.00000
2076,HUMLA,1.30000,1.81000,1.22000,1.16000,1.32000,1.62000,16.00000,0.00000,0.00000,0.86000,0.00000,0.00000,0.00000,0.00000
2076,JUMLA,1.70000,1.51000,1.03000,1.05000,1.82000,2.32000,16.01000,0.00000,0.00000,0.86000,0.00000,0.00000,0.00000,0.00000
2076,KALIKOT,1.51000,2.19000,1.14000,1.05000,1.21000,2.36000,16.46000,0.00000,0.00000,0.52000,0.00000,0.00000,0.00000,0.00000
2076,RUKUM WEST,1.25000,2.34000,0.00000,1.32000,2.70000,2.67000,15.47000,0.00000,0.00000,0.77000,0.83000,0.67000,0.00000,0.00000
2076,SALYAN,1.33000,2.29000,1.17000,1.11000,2.32000,4.09000,15.00000,0.03300,0.00000,0.74000,1.01000,0.92000,0.00000,0.00000
2076,JAJARKOT,1.12000,2.47000,0.95000,1.11000,1.54000,3.71000,14.89000,0.00000,0.00000,0.67000,0.91000,0.00000,0.00000,0.00000
2076,DAILEKH,1.16000,2.44000,0.99000,1.15000,1.74000,3.33000,18.00000,0.00000,0.00000,0.91000,1.02000,0.00000,0.00000,0.00000
2076,SURKHET,1.53000,2.79000,0.00000,1.42000,2.97000,4.02000,10.90000,0.00000,0.00000,1.05000,1.16000,1.51000,0.00000,0.00000
2076,BAJURA,1.00000,1.60000,1.55000,1.02000,0.94000,2.24000,14.51000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2076,BAJHANG,0.74000,1.39000,1.18000,0.75000,1.57000,3.54000,14.47000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2076,DARCHULA,0.81000,2.13000,1.03000,0.82000,1.47000,2.75000,14.60000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2076,ACHHAM,1.22000,2.37000,0.00000,1.12000,1.74000,2.26000,15.61000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2076,DOTI,0.94000,2.36000,0.95000,1.08000,2.25000,2.36000,14.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2076,BAITADI,0.68000,1.85000,0.00000,1.16000,1.12000,2.54000,15.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2076,DADELDHURA,1.36000,3.69000,0.00000,1.18000,2.03000,3.95000,14.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2076,KAILALI,1.97000,2.87000,1.21000,1.02000,3.12000,4.16000,16.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2076,KANCHANPUR,1.25000,2.34000,0.00000,0.00000,2.56000,3.88000,16.27000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2077,TAPLEJUNG,1.49000,2.80000,1.36000,1.39000,2.31000,2.56000,17.97000,0.14286,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2077,SANKHUWASABHA,1.31000,2.19000,1.01000,1.26000,2.35000,2.84000,14.38000,0.00000,0.00000,1.20000,0.00000,0.00000,0.00000,0.00000
2077,SOLUKHUMBU,1.17000,2.51000,0.97000,1.35000,2.10000,2.78000,15.23000,0.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2077,PANCHTHAR,1.46000,2.17000,0.79000,1.85000,2.16000,2.75000,16.93000,0.11765,0.08310,1.10000,0.63000,1.00000,0.00000,0.00000
2077,ILLAM,1.24000,3.74000,1.18000,1.35000,3.00000,3.20000,19.32000,0.00000,0.00000,1.11000,0.70000,1.20000,0.00000,0.00000
2077,TERHATHUM,1.33000,2.69000,0.94000,1.26000,2.11000,2.76000,17.62000,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000
2077,DHANKUTA,0.00000,3.26000,0.92000,1.25000,2.25000,3.34000,19.11000,0.08750,0.09400,0.95000,1.17000,1.00000,0.00000,0.00000
2077,BHOJPUR,1.43000,2.75000,0.89000,1.29000,2.05000,2.37000,17.44000,0.20000,0.00000,1.04000,0.00000,0.00000,0.00000,0.00000
2077,KHOTANG,1.51000,2.30000,0.93000,1.13000,2.30000,2.86000,14.76000,0.07576,0.00000,1.23000,0.00000,0.00000,0.00000,0.00000
2077,OKHALDHUNGA,1.32000,2.89000,0.99000,1.89000,2.13000,2.77000,14.58000,0.16667,0.00000,0.80000,0.00000,0.00000,0.00000,0.00000
2077,UDAYAPUR,1.54000,2.37000,1.06000,1.89000,2.75000,3.92000,14.48000,0.00000,0.00000,1.00000,1.39000,1.03000,0.00000,0.00000
2077,JHAPA,1.87000,4.05000,1.22000,1.30000,3.23000,4.40000,17.04000,0.00000,2.37450,1.50000,1.44000,1.01000,1.00000,0.00000
2077,MORANG,0.00000,3.96000,1.12000,1.24000,3.12000,4.24000,16.56000,0.31250,0.25000,1.22000,1.26000,0.98000,1.44000,0.00000
2077,SUNSARI,2.25000,3.12000,1.05000,1.15000,3.25000,3.99000,16.24000,0.00000,0.00000,1.22000,1.38000,0.86000,1.37000,0.00000
